brainrot,normal
BDE,confidence and ease
Broken heart emoji 💔,"a way to express disappointment, like when something is unfunny"
Face with bags under eyes emoji 🫩,an expression of beleaguerment
GOAT,greatest of all time
Gucci,an expression of approval or satisfaction for something
IJBOL,"an acronym for ""I just burst out laughing"""
KMS,kill myself
KYS,kill yourself
Karen,"pejorative term for an obnoxious, angry, or entitled (usually but not exclusively white and middle-aged) woman"
Khia,a nobody or irrelevant person
Kirkifying,use of deepfake softwares to put Charlie Kirk 's face to pictures of already popular online memes
L,"""loss,"" used to indicate failure, defeat, or something negative"
L+Ratio,insult used primarily online
Loudly crying emoji 😭,"also a replacement for I'm dying or the crying with laughter emoji, representing laughter"
OK boomer,"pejorative directed toward members of the Baby Boomer generation, used to dismiss or mock attitudes typically associated with baby boomers as out of date"
Roman Empire,"a random event, person, incident, or thing that fascinates or intrigues one to the point that one is frequently thinking about it"
SDIYBT,"acronym for ""Start digging in your butt, twin"
Skull emoji 💀,"replacement for the phrase ""I'm dying"", representing laughter or when something is unhinged"
Son I'm crine,"often used in phrases like ""Son I'm crine"""
W,"""win,"" used to indicate success, victory, or something positive"
Wilted flower emoji 🥀,"commonly referred to as the ""Wilted rose emoji,"" it replaces, or used in addition to, the broken heart emoji, also expresses disappointment, albeit often with humorous undertones"
You good?,"greeting, and is generally used to express concern for an acquaintance's well-being"
acoustic,"autistic"
and I oop,"an expression of shock, embarrassment, and/or amusement"
ate,to performed well or extremely good at something
aura,an individual's current reputation or charisma
baddie,"a confident, stylish, and attractive woman"
ball knowledge,niche or uncommon knowledge
bar(s),a lyric in a rap song that is considered excellent
based,approval of someone or agreement with another's opinion
basic,"people who prefer prefer mainstream products, trends, and music"
beige flag,a behavior or personality trait that is neither good nor bad
bestie,best friend
bet,"yes, okay, or sure"
bffr,be fucking for real
big back,a person with excessive eating habits
big yikes,"something embarrassing or cringe, particularly in response to an offensive comment"
blud,"""blood brother"" or ""mate"""
brainrot,"the state of losing touch with the real world as a result of consuming hyper-stimulating or chronically online content, especially when characterized by online buzzwords (""skibidi"", ""fanum tax"", ""rizz"", etc)"
bro,brother
bru,"""bro"" originating from AAVE"
bruh,"""bro"" originating from AAVE"
bruh/bru,"""bro"" originating from AAVE"
bussin',extremely good or excellent
bussy,"portmanteau of ""boy"" and ""pussy"" (slang for the vagina)"
cap,to lie originating from AAVE
caught in 4K,"someone being indisputably caught doing something wrong or incriminating on camera or with evidence to prove it, referencing 4K resolution"
chopped,ugly or unattractive
chud,pejorative term for someone on the far-right
clanker,"slur for robots, primarily used against generative artificial intelligence"
clapback,swift and witty response to an insult or critique
cook,to perform or do well
cooked,to be in trouble
cracked,to be skilled at something
crash out,to a bout of rage or upset
crine,"often used in phrases like ""Son I'm crine"""
dead,"humorous to such an extent as to ""kill you"""
dead/ded,"humorous to such an extent as to ""kill you"""
ded,"humorous to such an extent as to ""kill you"""
delusionship,a relationship in which someone holds unrealistic or overly idealistic beliefs
dih,ironic algospeak for dick
drip,good-looking or trendy high-class fashion
drop bars,a lyric in a rap song that is considered excellent
edge,to maintain a high level of sexual arousal for an extended period without reaching climax ( orgasm)
elite ball knowledge,niche or uncommon knowledge
face card,an attractive face
fanum tax,theft of food between friends
finna,going to or about to
fire,"term used to describe that something is impressive, good, or cool"
fit,term used to highlight or bring attention to one's outfit or fashion
fit check,term used to highlight or bring attention to one's outfit or fashion
fit/fit check,term used to highlight or bring attention to one's outfit or fashion
flop era,primarily used on TikTok and Twitter when a person is not getting enough likes and views and starts posting memes and putting text over it in hope of going viral
flow state,"used when relaxing, typically when concentrating on something"
gagged,"shocked, amazed, or at a loss for words"
gas,"to describe something as highly entertaining, pleasant, or good"
ghost,to end communication or contact with someone without warning
glaze,"to hype, praise, or compliment someone so much that it becomes annoying or excessive"
glizzy,a hot dog
glow-up,"a major improvement in one's self, usually an improvement in appearance, confidence, personality, and style"
gng,"used to refer to a close group of friends or as a casual greeting/address (e.g., ""wassup gng"" meaning ""what's up, gang"")"
good boy,a phrase that is mockingly used when one is told to do something and they do it
good boy / good girl,a phrase that is mockingly used when one is told to do something and they do it
good girl,a phrase that is mockingly used when one is told to do something and they do it
goofy ahh,"an AAVE phrase and slang term meaning ""goofy ass"" used to label content as goofy or silly"
gooning,the act of masturbating for long periods of time or for someone who does it chronically
green flag,"behaviors or personality traits that are considered positive, healthy, or desirable"
hawk tuah,an onomatopoeia for spitting or expectoration on a penis as a form of oral sex used by Haliey Welch in 2024
hb,an initialism of homeboy/homegirl
hb/hg,an initialism of homeboy/homegirl
hg,an initialism of homeboy/homegirl
hit different,to be better in a distinctive manner
iPad kid,term describing Generation Alpha children who spend most of their time consuming content via a phone or tablet screen
ick,a sudden feeling of disgust or repulsion for something one was previously attracted to
icl,"abbreviation of ""I can't lie"""
it's giving,an attitude or connotation
it's joever,"replacement for it's over, standing for complete physical and mental defeat"
iykyk,"If you know, you know"
jestermaxxing,"a slang term referring to both internet subcultures such as incels, and to the practice of using extreme humor, comedic antics, or acting like a ""clown"" to gain female attention and attraction (see also Clavicular)"
jit,an African-American term originating in the 1970s
knowing ball,niche or uncommon knowledge
larp,"a term for someone being fake or performative, similar to calling them a ""poser"
let him cook,to perform or do well
lit,"remarkable, interesting, fun, or amusing"
locked in,a state of total concentration on a task
looksmaxxing,an attempt (often pseudoscientific) to maximize physical attractiveness
lowkenuinely,a portmanteau of 'lowkey' and 'genuinely'
lowkirkenuinely,"a portmanteau of 'lowkey', 'kirk', and 'genuinely'"
main character (MC),someone who is or wants to be the star of their life
mew,a pseudoscientific method to restructure someone's jawline by pressing their tongue to the roof of their mouth
mid,"average, mediocre, not bad or not special"
mog,"to look significantly more attractive than someone or something, causing them to appear inferior in comparison"
mogging,"to dominate, outclass, or look significantly better than someone else, typically in terms of physical appearance"
moot(s),mutuals or mutual followers
nugu,"relatively unknown, obscure, or new groups that have not yet gained significant recognition or popularity among the K-Pop fandom"
only in Ohio,"internet slang used to describe strange or surreal occurances humorously attributed to Ohio, compare Florida man"
oof,"an expression of discomfort, surprise, dismay, or sympathy for someone else's pain"
oomf,"acronym for ""one of my followers"" or ""one of my friends"""
opp,"opposition or enemies, describes an individual's opponents"
out of pocket,"to act (or say something) crazy, wild, unexpected, or extreme, sometimes to an extent that is considered too far, or unavailable"
owned,"used to refer to defeat in a video game, or domination of an opposition"
periodt,"originated as ""period"" in the early 1900s, spread in the 2010s via the City Girls rap duo and Black Twitter, and entered into the mainstream by 2019"
pick-me,"someone who seeks validation by trying to stand out, often putting down others in their gender or group to gain favor or attention"
pmo,"an acronym that stands for ""piss me off"", used to express discontent or anger at a certain topic"
pookie,an endearing nickname for a close friend or lover
pushing P,a phrase meaning acting with integrity and style while maintaining and displaying one's success
queen,"a gay slang term for a homosexual male – it was once considered pejorative but has been completely reclaimed, and is often used in combination with other words to describe subcommunities"
rage-bait,to elicit rage within an individual or group
ratio,"when a post, particularly on X (Twitter), receives more replies than retweets and likes combined"
red flag,a warning sign indicating behaviors or characteristics within a relationship that may potentially be harmful or toxic
rizz,charisma or flirting ability
salty,"someone who is behaving or expressing themselves in a resentful, bitter, or irritated manner"
serving cunt,"to behave in a bold, confident, feminine manner"
sheesh,to praise someone when they are doing something good
shook,"to be shocked, surprised, or bothered"
sigma,"a person that is individualistic, self-reliant, successful, and is non-conforming to existing social norms"
sigma male,"a person that is individualistic, self-reliant, successful, and is non-conforming to existing social norms"
sigma/sigma male,"a person that is individualistic, self-reliant, successful, and is non-conforming to existing social norms"
simp,"sycophancy, being overly affectionate in pursuit of a sexual relationship"
six-seven (6-7),"a nonsense word derived from the song ""Doot Doot (6 7)"" by Skrilla"
skibidi,"adjective that derives from the meme Skibidi toilet, with no real meaning"
skill issue,"a situation where a person's lack of ability or proficiency is seen as the cause of their failure or difficulty in completing a task, sometimes used ironically"
sksksk ⓘ,used to convey happiness/laughter
slaps,"used to refer to something that is perceived to be good, particularly used when referring to music"
slay,to do something well
slop,"low-quality internet content, particularly that which was created by generative artificial intelligence"
snatched,"amazing, attractive, or flawlessly styled"
spiritually Israeli,a pejorative term implying something gives off the vibe of supporting Israel
spitting,a lyric in a rap song that is considered excellent
spitting bars,a lyric in a rap song that is considered excellent
stan,supporting something to an extreme degree
sus,short term for suspect/suspicious
sussy baka,"a combination of ""sus"" and ""baka"", the Japanese word for ""fool"""
sybau,shut your bitch ass up
syfm,"acronym for ""shut your fucking mouth"", originally a meme taken from a scene in the movie Bronson"
tea,secret information or rumors
touch grass,"a way of telling someone to ""go outside"", usually after said person is believed to have been online for too long"
truth nuke,"an impactful telling of factual, or sometimes opinionated, information, Sometimes spelt as ""trvthnvke"""
ts,"an abbreviation for ""this shit"", however it is also often used as a short form of ""this"""
tuff,eye dialect spelling of tough
tweaking,to be acting strangely or thinking that someone is hallucinating
twin,"a term of endearment for a close friend, indicating a strong, sibling-like bond"
unalive,"an algospeak based euphemism for the word ""kill"" or other death -related terms, often in the context of suicide"
unc,abbreviation of uncle
understood the assignment,"to understand what was supposed to be done, to do something well"
uwu,used to portray happiness or one wanting to appear cute
vaguepost,"a social media post that is intentionally cryptic or ambiguous, often for the purpose of engagement farming"
vibe check,"to check one's personality, behavior, or attitude"
vro,"genderless synonym for bro, also used as ""very rare one"""
washed,"to be no longer successful, popular, or skilled"
who is this diva?,"an affectionate rhetorical question used to compliment people who positively embody diva -like qualities such as boldness, style, and/or confidence"
yap,"to talk too much, especially without significant meaning"
yart,"a slang for weed cart, or marijuana vape cartridge"
"zaza, za",a drug slang for Cannabis
zesty,"flamboyant, effeminate, or otherwise using the stereotypical mannerisms of a gay man"
